"","CSN","STATE","NAME","GEO_ID","LocalTax","MedianIncome","Area_Code","St","Cnty","St_Name","Annual_Average_Establishment_Count","Annual_Average_Employment","Annual_Total_Wages","Annual_Average_Weekly_Wage","Annual_Average_Pay","Total_Wage_Location_Quotient_Relative_to_US","Employment_Location_Quotient_Relative_to_US","LAUS Code","State FIPS Code","County FIPS Code","STATE_GEO_ID","Year","Labor Force","Employed","Unemployed","Unemployment Rate","StateTax","StateMeanLocalTax","StateCombinedMeanTax","Geo Id","Ton-miles (millions)","Coefficient of variation for Ton-miles","Tons (thousands)","Tons (percent change)","Standard error for Tons (percent change)","Coefficient of variation for Tons","Value ($ million)","Value (percent change)","Standard error for Value (percent change)","Coefficient of variation for Value","2007 Tons (thousands)","2007 Coefficient of variation for Tons","2007 Value ($ million)","2007 Coefficient of variation for Value"
"1198","Caroline County Maryland","Maryland","Caroline County","0500000US24011",NA,NA,"24011","24","011","Maryland",689,9821,410552142,804,41802,101,101,"CN2401100000000","24","011","Caroline County, MD","2019",18270,17612,658,3.6,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1199","Carroll County Maryland","Maryland","Carroll County","0500000US24013",NA,"40834","24013","24","013","Maryland",4581,58110,2522386663,835,43407,101,101,"CN2401300000000","24","013","Carroll County, MD","2019",96466,93645,2821,2.9,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1200","Cecil County Maryland","Maryland","Cecil County","0500000US24015",NA,"33416","24015","24","015","Maryland",1920,32275,1570181185,936,48650,101,101,"CN2401500000000","24","015","Cecil County, MD","2019",53453,51323,2130,4,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1201","Charles County Maryland","Maryland","Charles County","0500000US24017",NA,"45313","24017","24","017","Maryland",2847,41392,1915628554,890,46280,101,101,"CN2401700000000","24","017","Charles County, MD","2019",88102,84908,3194,3.6,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1202","Dorchester County Maryland","Maryland","Dorchester County","0500000US24019",NA,NA,"24019","24","019","Maryland",717,10880,435530773,770,40029,101,101,"CN2401900000000","24","019","Dorchester County, MD","2019",15684,14938,746,4.8,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1203","Frederick County Maryland","Maryland","Frederick County","0500000US24021",NA,"43187","24021","24","021","Maryland",6482,103232,5275755534,983,51106,101,101,"CN2402100000000","24","021","Frederick County, MD","2019",135761,131453,4308,3.2,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1204","Garrett County Maryland","Maryland","Garrett County","0500000US24023",NA,NA,"24023","24","023","Maryland",928,11829,419286729,682,35445,101,101,"CN2402300000000","24","023","Garrett County, MD","2019",15775,15075,700,4.4,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1205","Harford County Maryland","Maryland","Harford County","0500000US24025",NA,"40194","24025","24","025","Maryland",5860,95060,4984614585,1008,52437,101,101,"CN2402500000000","24","025","Harford County, MD","2019",142081,137331,4750,3.3,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1206","Howard County Maryland","Maryland","Howard County","0500000US24027",NA,"55763","24027","24","027","Maryland",10091,172273,11765089304,1313,68293,101,101,"CN2402700000000","24","027","Howard County, MD","2019",189135,183944,5191,2.7,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1207","Kent County Maryland","Maryland","Kent County","0500000US24029",NA,NA,"24029","24","029","Maryland",724,7993,331102983,797,41425,101,101,"CN2402900000000","24","029","Kent County, MD","2019",10205,9796,409,4,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1208","Montgomery County Maryland","Maryland","Montgomery County","0500000US24031",NA,"46280","24031","24","031","Maryland",33041,470884,35622172421,1455,75650,101,101,"CN2403100000000","24","031","Montgomery County, MD","2019",565866,549310,16556,2.9,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1209","Prince George's County Maryland","Maryland","Prince George's County","0500000US24033",NA,"40044","24033","24","033","Maryland",16230,320443,18655857182,1120,58219,101,101,"CN2403300000000","24","033","Prince George's County, MD","2019",513953,494665,19288,3.8,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1210","Queen Anne's County Maryland","Maryland","Queen Anne's County","0500000US24035",NA,NA,"24035","24","035","Maryland",1479,15084,617309270,787,40926,101,101,"CN2403500000000","24","035","Queen Anne's County, MD","2019",28079,27210,869,3.1,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1211","St. Mary's County Maryland","Maryland","St. Mary's County","0500000US24037",NA,"40903","24037","24","037","Maryland",2179,44721,3015380899,1297,67427,101,101,"CN2403700000000","24","037","St. Mary's County, MD","2019",57409,55506,1903,3.3,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1212","Somerset County Maryland","Maryland","Somerset County","0500000US24039",NA,NA,"24039","24","039","Maryland",470,6719,294997123,844,43908,101,101,"CN2403900000000","24","039","Somerset County, MD","2019",9252,8689,563,6.1,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1213","Talbot County Maryland","Maryland","Talbot County","0500000US24041",NA,NA,"24041","24","041","Maryland",1560,19390,834531702,828,43039,101,101,"CN2404100000000","24","041","Talbot County, MD","2019",19327,18665,662,3.4,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1214","Washington County Maryland","Maryland","Washington County","0500000US24043",NA,"30888","24043","24","043","Maryland",3509,65708,2862286724,838,43561,101,101,"CN2404300000000","24","043","Washington County, MD","2019",75259,72347,2912,3.9,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1215","Wicomico County Maryland","Maryland","Wicomico County","0500000US24045",NA,"26844","24045","24","045","Maryland",2597,45357,1976917787,838,43586,101,101,"CN2404500000000","24","045","Wicomico County, MD","2019",51724,49327,2397,4.6,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1216","Worcester County Maryland","Maryland","Worcester County","0500000US24047",NA,NA,"24047","24","047","Maryland",2210,24975,858536181,661,34375,101,101,"CN2404700000000","24","047","Worcester County, MD","2019",25814,23908,1906,7.4,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1217","Baltimore City Maryland","Maryland","Baltimore city","0500000US24510",NA,NA,"24510","24","510","Maryland",13718,343996,22615503397,1264,65743,101,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,"0400000US24",545,15.5,938,-8.6,22.6,11.7,4518,-37,17.2,11.8,1026,21.8,7167,24.6
"1218","Barnstable County Massachusetts","Massachusetts","Barnstable County","0500000US25001",NA,"34566","25001","25","001","Massachusetts",9485,97408,4666137105,921,47903,101,101,"CN2500100000000","25","001","Barnstable County, MA","2019",115437,110989,4448,3.9,6.25,NA,6.25,"0400000US25",1522,34.1,2172,-3.3,31.6,31.2,26292,33.4,18.9,7.3,2247,9.9,19708,12.1
"1219","Berkshire County Massachusetts","Massachusetts","Berkshire County","0500000US25003",NA,"31296","25003","25","003","Massachusetts",5199,61266,2886288428,906,47111,101,101,"CN2500300000000","25","003","Berkshire County, MA","2019",65320,63035,2285,3.5,6.25,NA,6.25,"0400000US25",1522,34.1,2172,-3.3,31.6,31.2,26292,33.4,18.9,7.3,2247,9.9,19708,12.1
"1220","Bristol County Massachusetts","Massachusetts","Bristol County","0500000US25005",NA,"32232","25005","25","005","Massachusetts",17840,228565,11508070958,968,50349,101,101,"CN2500500000000","25","005","Bristol County, MA","2019",304217,292890,11327,3.7,6.25,NA,6.25,"0400000US25",1522,34.1,2172,-3.3,31.6,31.2,26292,33.4,18.9,7.3,2247,9.9,19708,12.1
"1221","Dukes County Massachusetts","Massachusetts","Dukes County","0500000US25007",NA,NA,"25007","25","007","Massachusetts",1299,9016,469665024,1002,52093,101,101,"CN2500700000000","25","007","Dukes County, MA","2019",9650,9255,395,4.1,6.25,NA,6.25,"0400000US25",1522,34.1,2172,-3.3,31.6,31.2,26292,33.4,18.9,7.3,2247,9.9,19708,12.1
"1222","Essex County Massachusetts","Massachusetts","Essex County","0500000US25009",NA,"35534","25009","25","009","Massachusetts",26479,325671,19635892004,1159,60294,101,101,"CN2500900000000","25","009","Essex County, MA","2019",429871,417092,12779,3,6.25,NA,6.25,"0400000US25",1522,34.1,2172,-3.3,31.6,31.2,26292,33.4,18.9,7.3,2247,9.9,19708,12.1
"1223","Franklin County Massachusetts","Massachusetts","Franklin County","0500000US25011",NA,"32854","25011","25","011","Massachusetts",2510,26852,1140853347,817,42487,101,101,"CN2501100000000","25","011","Franklin County, MA","2019",41318,40207,1111,2.7,6.25,NA,6.25,"0400000US25",1522,34.1,2172,-3.3,31.6,31.2,26292,33.4,18.9,7.3,2247,9.9,19708,12.1
"1224","Hampden County Massachusetts","Massachusetts","Hampden County","0500000US25013",NA,"28425","25013","25","013","Massachusetts",18673,209706,10374621124,951,49472,101,101,"CN2501300000000","25","013","Hampden County, MA","2019",230190,220767,9423,4.1,6.25,NA,6.25,"0400000US25",1522,34.1,2172,-3.3,31.6,31.2,26292,33.4,18.9,7.3,2247,9.9,19708,12.1
"1225","Hampshire County Massachusetts","Massachusetts","Hampshire County","0500000US25015",NA,"30130","25015","25","015","Massachusetts",4885,65818,3195966467,934,48558,101,101,"CN2501500000000","25","015","Hampshire County, MA","2019",90937,88479,2458,2.7,6.25,NA,6.25,"0400000US25",1522,34.1,2172,-3.3,31.6,31.2,26292,33.4,18.9,7.3,2247,9.9,19708,12.1
"1226","Middlesex County Massachusetts","Massachusetts","Middlesex County","0500000US25017",NA,"45874","25017","25","017","Massachusetts",55720,924133,79048040053,1645,85538,101,101,"CN2501700000000","25","017","Middlesex County, MA","2019",929265,907777,21488,2.3,6.25,NA,6.25,"0400000US25",1522,34.1,2172,-3.3,31.6,31.2,26292,33.4,18.9,7.3,2247,9.9,19708,12.1
"1227","Nantucket County Massachusetts","Massachusetts","Nantucket County","0500000US25019",NA,NA,"25019","25","019","Massachusetts",1139,7577,436122435,1107,57559,101,101,"CN2501900000000","25","019","Nantucket County/town, MA","2019",7661,7342,319,4.2,6.25,NA,6.25,"0400000US25",1522,34.1,2172,-3.3,31.6,31.2,26292,33.4,18.9,7.3,2247,9.9,19708,12.1
"1228","Norfolk County Massachusetts","Massachusetts","Norfolk County","0500000US25021",NA,"46052","25021","25","021","Massachusetts",25373,354053,23414600852,1272,66133,101,101,"CN2502100000000","25","021","Norfolk County, MA","2019",395483,385482,10001,2.5,6.25,NA,6.25,"0400000US25",1522,34.1,2172,-3.3,31.6,31.2,26292,33.4,18.9,7.3,2247,9.9,19708,12.1
"1229","Plymouth County Massachusetts","Massachusetts","Plymouth County","0500000US25023",NA,"39456","25023","25","023","Massachusetts",16227,194800,10261239809,1013,52676,101,101,"CN2502300000000","25","023","Plymouth County, MA","2019",286588,277913,8675,3,6.25,NA,6.25,"0400000US25",1522,34.1,2172,-3.3,31.6,31.2,26292,33.4,18.9,7.3,2247,9.9,19708,12.1
"1230","Suffolk County Massachusetts","Massachusetts","Suffolk County","0500000US25025",NA,"33899","25025","25","025","Massachusetts",30732,680021,68351628909,1933,100514,101,101,"CN2502500000000","25","025","Suffolk County, MA","2019",461168,449136,12032,2.6,6.25,NA,6.25,"0400000US25",1522,34.1,2172,-3.3,31.6,31.2,26292,33.4,18.9,7.3,2247,9.9,19708,12.1
"1231","Worcester County Massachusetts","Massachusetts","Worcester County","0500000US25027",NA,"35031","25027","25","027","Massachusetts",26001,350313,19373132868,1064,55302,101,101,"CN2502700000000","25","027","Worcester County, MA","2019",450332,436193,14139,3.1,6.25,NA,6.25,"0400000US25",1522,34.1,2172,-3.3,31.6,31.2,26292,33.4,18.9,7.3,2247,9.9,19708,12.1
"1232","Alcona County Michigan","Michigan","Alcona County","0500000US26001",NA,NA,"26001","26","001","Michigan",175,1763,62782359,685,35611,101,101,"CN2600100000000","26","001","Alcona County, MI","2019",3879,3635,244,6.3,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1233","Alger County Michigan","Michigan","Alger County","0500000US26003",NA,NA,"26003","26","003","Michigan",219,2521,104277847,796,41368,101,101,"CN2600300000000","26","003","Alger County, MI","2019",3198,2949,249,7.8,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1234","Allegan County Michigan","Michigan","Allegan County","0500000US26005",NA,"29898","26005","26","005","Michigan",2202,39348,1885350999,921,47915,101,101,"CN2600500000000","26","005","Allegan County, MI","2019",62275,60325,1950,3.1,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1235","Alpena County Michigan","Michigan","Alpena County","0500000US26007",NA,NA,"26007","26","007","Michigan",784,11337,447343306,759,39458,101,101,"CN2600700000000","26","007","Alpena County, MI","2019",13266,12638,628,4.7,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1236","Antrim County Michigan","Michigan","Antrim County","0500000US26009",NA,NA,"26009","26","009","Michigan",525,5364,177451169,636,33081,101,101,"CN2600900000000","26","009","Antrim County, MI","2019",10321,9791,530,5.1,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1237","Arenac County Michigan","Michigan","Arenac County","0500000US26011",NA,NA,"26011","26","011","Michigan",303,4527,161368089,686,35646,101,101,"CN2601100000000","26","011","Arenac County, MI","2019",6062,5663,399,6.6,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1238","Baraga County Michigan","Michigan","Baraga County","0500000US26013",NA,NA,"26013","26","013","Michigan",207,2916,117600102,776,40333,101,101,"CN2601300000000","26","013","Baraga County, MI","2019",3219,3015,204,6.3,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1239","Barry County Michigan","Michigan","Barry County","0500000US26015",NA,NA,"26015","26","015","Michigan",871,12479,503681259,776,40361,101,101,"CN2601500000000","26","015","Barry County, MI","2019",31665,30638,1027,3.2,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1240","Bay County Michigan","Michigan","Bay County","0500000US26017",NA,"26360","26017","26","017","Michigan",2071,33710,1451300330,828,43053,101,101,"CN2601700000000","26","017","Bay County, MI","2019",50038,47704,2334,4.7,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1241","Benzie County Michigan","Michigan","Benzie County","0500000US26019",NA,NA,"26019","26","019","Michigan",445,4298,145734712,652,33908,101,101,"CN2601900000000","26","019","Benzie County, MI","2019",8882,8432,450,5.1,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1242","Berrien County Michigan","Michigan","Berrien County","0500000US26021",NA,"28319","26021","26","021","Michigan",3420,61350,2969909422,931,48409,101,101,"CN2602100000000","26","021","Berrien County, MI","2019",73454,70483,2971,4,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1243","Branch County Michigan","Michigan","Branch County","0500000US26023",NA,NA,"26023","26","023","Michigan",783,14328,594204456,798,41471,101,101,"CN2602300000000","26","023","Branch County, MI","2019",19356,18600,756,3.9,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1244","Calhoun County Michigan","Michigan","Calhoun County","0500000US26025",NA,"26975","26025","26","025","Michigan",2236,54787,2859371371,1004,52191,101,101,"CN2602500000000","26","025","Calhoun County, MI","2019",62502,59943,2559,4.1,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1245","Cass County Michigan","Michigan","Cass County","0500000US26027",NA,NA,"26027","26","027","Michigan",732,9485,382067108,775,40280,101,101,"CN2602700000000","26","027","Cass County, MI","2019",24491,23442,1049,4.3,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1246","Charlevoix County Michigan","Michigan","Charlevoix County","0500000US26029",NA,NA,"26029","26","029","Michigan",782,10527,469070526,857,44558,101,101,"CN2602900000000","26","029","Charlevoix County, MI","2019",12913,12315,598,4.6,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1247","Cheboygan County Michigan","Michigan","Cheboygan County","0500000US26031",NA,NA,"26031","26","031","Michigan",765,6471,215951060,642,33373,101,101,"CN2603100000000","26","031","Cheboygan County, MI","2019",10547,9627,920,8.7,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1248","Chippewa County Michigan","Michigan","Chippewa County","0500000US26033",NA,NA,"26033","26","033","Michigan",795,12428,486524190,753,39146,101,101,"CN2603300000000","26","033","Chippewa County, MI","2019",16031,15022,1009,6.3,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1249","Clare County Michigan","Michigan","Clare County","0500000US26035",NA,NA,"26035","26","035","Michigan",514,6776,267562570,759,39489,101,101,"CN2603500000000","26","035","Clare County, MI","2019",11728,11010,718,6.1,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1250","Clinton County Michigan","Michigan","Clinton County","0500000US26037",NA,"34411","26037","26","037","Michigan",1221,16589,694650408,805,41875,101,101,"CN2603700000000","26","037","Clinton County, MI","2019",41149,39916,1233,3,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1251","Crawford County Michigan","Michigan","Crawford County","0500000US26039",NA,NA,"26039","26","039","Michigan",269,4127,176886160,824,42862,101,101,"CN2603900000000","26","039","Crawford County, MI","2019",5599,5285,314,5.6,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1252","Delta County Michigan","Michigan","Delta County","0500000US26041",NA,NA,"26041","26","041","Michigan",998,13762,547362305,765,39774,101,101,"CN2604100000000","26","041","Delta County, MI","2019",17181,16282,899,5.2,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1253","Dickinson County Michigan","Michigan","Dickinson County","0500000US26043",NA,NA,"26043","26","043","Michigan",827,14092,675868449,922,47961,101,101,"CN2604300000000","26","043","Dickinson County, MI","2019",12297,11777,520,4.2,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1254","Eaton County Michigan","Michigan","Eaton County","0500000US26045",NA,"33730","26045","26","045","Michigan",1869,42761,2044479245,919,47812,101,101,"CN2604500000000","26","045","Eaton County, MI","2019",57251,55295,1956,3.4,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1255","Emmet County Michigan","Michigan","Emmet County","0500000US26047",NA,NA,"26047","26","047","Michigan",1385,18110,729071360,774,40258,101,101,"CN2604700000000","26","047","Emmet County, MI","2019",17772,16816,956,5.4,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1256","Genesee County Michigan","Michigan","Genesee County","0500000US26049",NA,"27008","26049","26","049","Michigan",6849,134488,6179166049,884,45946,101,101,"CN2604900000000","26","049","Genesee County, MI","2019",182899,173888,9011,4.9,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1257","Gladwin County Michigan","Michigan","Gladwin County","0500000US26051",NA,NA,"26051","26","051","Michigan",378,4083,148716736,700,36422,101,101,"CN2605100000000","26","051","Gladwin County, MI","2019",9918,9350,568,5.7,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1258","Gogebic County Michigan","Michigan","Gogebic County","0500000US26053",NA,NA,"26053","26","053","Michigan",385,5337,212798843,767,39871,101,101,"CN2605300000000","26","053","Gogebic County, MI","2019",6030,5714,316,5.2,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1259","Grand Traverse County Michigan","Michigan","Grand Traverse County","0500000US26055",NA,"31302","26055","26","055","Michigan",3287,49968,2226683969,857,44562,101,101,"CN2605500000000","26","055","Grand Traverse County, MI","2019",49812,48097,1715,3.4,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1260","Gratiot County Michigan","Michigan","Gratiot County","0500000US26057",NA,NA,"26057","26","057","Michigan",704,12739,556947081,841,43720,101,101,"CN2605700000000","26","057","Gratiot County, MI","2019",17998,17209,789,4.4,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1261","Hillsdale County Michigan","Michigan","Hillsdale County","0500000US26059",NA,NA,"26059","26","059","Michigan",766,12775,560342684,844,43864,101,101,"CN2605900000000","26","059","Hillsdale County, MI","2019",20446,19592,854,4.2,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1262","Houghton County Michigan","Michigan","Houghton County","0500000US26061",NA,NA,"26061","26","061","Michigan",856,11052,479756592,835,43410,101,101,"CN2606100000000","26","061","Houghton County, MI","2019",16183,15388,795,4.9,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1263","Huron County Michigan","Michigan","Huron County","0500000US26063",NA,NA,"26063","26","063","Michigan",955,11146,441829819,762,39639,101,101,"CN2606300000000","26","063","Huron County, MI","2019",15401,14723,678,4.4,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1264","Ingham County Michigan","Michigan","Ingham County","0500000US26065",NA,"26053","26065","26","065","Michigan",6006,151451,8055853270,1023,53191,101,101,"CN2606500000000","26","065","Ingham County, MI","2019",151261,145943,5318,3.5,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1265","Ionia County Michigan","Michigan","Ionia County","0500000US26067",NA,NA,"26067","26","067","Michigan",1005,19799,696322020,676,35170,101,101,"CN2606700000000","26","067","Ionia County, MI","2019",30280,29252,1028,3.4,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1266","Iosco County Michigan","Michigan","Iosco County","0500000US26069",NA,NA,"26069","26","069","Michigan",563,7524,298210668,762,39637,101,101,"CN2606900000000","26","069","Iosco County, MI","2019",10220,9610,610,6,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1267","Iron County Michigan","Michigan","Iron County","0500000US26071",NA,NA,"26071","26","071","Michigan",350,3759,138786281,710,36925,101,101,"CN2607100000000","26","071","Iron County, MI","2019",5162,4878,284,5.5,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1268","Isabella County Michigan","Michigan","Isabella County","0500000US26073",NA,"18314","26073","26","073","Michigan",1284,28817,1127425661,752,39123,101,101,"CN2607300000000","26","073","Isabella County, MI","2019",34741,33405,1336,3.8,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1269","Jackson County Michigan","Michigan","Jackson County","0500000US26075",NA,"25666","26075","26","075","Michigan",2635,57217,2783924913,936,48656,101,101,"CN2607500000000","26","075","Jackson County, MI","2019",74125,71335,2790,3.8,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1270","Kalamazoo County Michigan","Michigan","Kalamazoo County","0500000US26077",NA,"27772","26077","26","077","Michigan",5019,119847,6228144572,999,51967,101,101,"CN2607700000000","26","077","Kalamazoo County, MI","2019",133718,129316,4402,3.3,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1271","Kalkaska County Michigan","Michigan","Kalkaska County","0500000US26079",NA,NA,"26079","26","079","Michigan",313,4182,213152421,980,50971,101,101,"CN2607900000000","26","079","Kalkaska County, MI","2019",7935,7487,448,5.6,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1272","Kent County Michigan","Michigan","Kent County","0500000US26081",NA,"30865","26081","26","081","Michigan",14706,402300,19699655853,942,48968,101,101,"CN2608100000000","26","081","Kent County, MI","2019",359924,349535,10389,2.9,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1273","Keweenaw County Michigan","Michigan","Keweenaw County","0500000US26083",NA,NA,"26083","26","083","Michigan",73,429,11095182,498,25883,101,101,"CN2608300000000","26","083","Keweenaw County, MI","2019",884,823,61,6.9,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
"1274","Lake County Michigan","Michigan","Lake County","0500000US26085",NA,NA,"26085","26","085","Michigan",152,1624,55357783,656,34098,101,101,"CN2608500000000","26","085","Lake County, MI","2019",3709,3472,237,6.4,6,NA,6,"0400000US26",6321,10.9,13151,-10.3,23.2,20.4,45560,-6.2,18.5,9.9,14658,15.8,48553,17.1
